Name:     Description:
ssideki3  "Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikoue no michi"
doubledr  "Double Dragon (Neo-Geo)"
pbobble   "Puzzle Bobble / Bust-A-Move (Neo-Geo)"
kof95     "King of Fighters '95, The"
tws96     "Tecmo World Soccer '96"
samsho3   "Samurai Shodown III / Samurai Spirits - Zankurou Musouken"
stakwin   "Stakes Winner / Stakes Winner - GI kinzen seihae no michi"
pulstar   "Pulstar"
whp       "World Heroes Perfect"
kabukikl  "Kabuki Klash - Far East of Eden / Tengai Makyou Shinden - Far East of Eden"
neobombe  "Neo Bomberman"
gowcaizr  "Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer"
rbff1     "Real Bout Fatal Fury / Real Bout Garou Densetsu"
aof3      "Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden"
sonicwi3  "Aero Fighters 3 / Sonic Wings 3"
turfmast  "Neo Turf Masters / Big Tournament Golf"
mslug     "Metal Slug - Super Vehicle-001"
puzzledp  "Puzzle De Pon"
mosyougi  "Syougi No Tatsujin - Master of Syougi"
marukodq  "Chibi Marukochan Deluxe Quiz"
neomrdo   "Neo Mr. Do!"
sdodgeb   "Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu"
goalx3    "Goal! Goal! Goal!"
overtop   "Over Top"
neodrift  "Neo Drift Out - New Technology"
kof96     "King of Fighters '96, The"
ssideki4  "Ultimate 11 / Tokuten Ou - Honoo no Libero, The"
kizuna    "Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle"
ninjamas  "Ninja Master's - haoh-ninpo-cho"
ragnagrd  "Operation Ragnagard / Shin-Oh-Ken"
pgoal     "Pleasure Goal / Futsal - 5 on 5 Mini Soccer"
magdrop2  "Magical Drop II"
samsho4   "Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin"
rbffspec  "Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special"
twinspri  "Twinkle Star Sprites"
wakuwak7  "Waku Waku 7"
stakwin2  "Stakes Winner 2"
breakers  "Breakers"
miexchng  "Money Puzzle Exchanger / Money Idol Exchanger"
kof97     "King of Fighters '97, The"
magdrop3  "Magical Drop III"
lastblad  "Last Blade / Bakumatsu Roman - Gekkano Kenshi, The"
puzzldpr  "Puzzle De Pon R"
irrmaze   "Irritating Maze / Ultra Denryu Iraira Bou, The"
popbounc  "Pop 'n Bounce / Gapporin"
shocktro  "Shock Troopers"
blazstar  "Blazing Star"
rbff2     "Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers"
mslug2    "Metal Slug 2 - Super Vehicle-001/II"
kof98     "King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends, The"
lastbld2  "Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekkano Kenshi, The"
neocup98  "Neo-Geo Cup '98 - The Road to the Victory"
breakrev  "Breakers Revenge"
shocktr2  "Shock Troopers - 2nd Squad"
flipshot  "Battle Flip Shot"
